Time,X,Y,Z,|V|,MAx,MAy,MAz,MAv
"4,666","-4,411,096","-9,060,808","1,354,745","10,168,154","-4,458","-8,774",833,"9,890"
"4,689","-4,469,419","-8,968,326","1,051,782","10,075,357","-4,446","-8,906","1,081","10,015"
"4,707","-4,639,570","-8,895,886","885,405","10,072,058","-4,487","-8,949","1,122","10,076"
"4,725","-4,726,805","-8,951,777","890,337","10,162,170","-4,562","-8,969","1,046","10,119"
"4,745","-4,645,843","-9,038,743","1,135,895","10,226,094","-4,620","-8,964",991,"10,134"
"4,765","-4,316,784","-9,280,328","1,325,277","10,320,633","-4,582","-9,042","1,059","10,195"
"4,786","-4,148,864","-9,298,131","1,357,819","10,271,903","-4,460","-9,142","1,177","10,245"
"4,806","-3,871,989","-9,220,061","1,391,615","10,096,456","-4,246","-9,209","1,303","10,229"
"4,825","-3,772,611","-9,119,322","1,398,329","9,967,444","-4,028","-9,229","1,368","10,164"
"4,847","-3,843,671","-8,896,173","1,422,070","9,794,794","-3,909","-9,133","1,392","10,033"
"4,864","-3,808,600","-8,849,554","1,430,047","9,739,871","-3,824","-9,021","1,411","9,900"
"4,884","-4,108,642","-8,729,920","1,085,272","9,709,287","-3,883","-8,899","1,334","9,803"
"4,905","-4,293,503","-8,672,622","693,150","9,702,010","-4,014","-8,787","1,158","9,736"
"4,929","-4,438,438","-8,888,607","553,099","9,950,526","-4,162","-8,785",940,"9,775"
"4,944","-4,452,487","-9,251,195","484,462","10,278,325","-4,323","-8,886",704,"9,910"
"4,964","-4,568,683","-9,153,914","437,650","10,240,046","-4,438","-8,992",542,"10,043"
"4,984","-4,737,139","-8,683,789","679,858","9,915,184","-4,549","-8,994",539,"10,096"
"5,009","-4,728,271","-8,251,999","1,250,626","9,592,502","-4,622","-8,835",713,"10,007"
"5,023","-4,701,417","-7,885,447","1,323,275","9,275,487","-4,684","-8,494",923,"9,756"
"5,043","-4,451,166","-8,043,761","671,277","9,217,678","-4,654","-8,216",981,"9,500"
"5,063","-4,419,955","-8,155,408","-45,135","9,276,245","-4,575","-8,084",800,"9,340"
"5,087","-4,565,944","-8,359,049","-174,240","9,526,379","-4,535","-8,111",444,"9,324"
"5,106","-4,827,659","-8,516,242","245,138","9,792,485","-4,566","-8,269",174,"9,453"
"5,122","-5,097,456","-8,637,974","780,366","10,060,200","-4,728","-8,417",202,"9,664"
"5,143","-5,455,801","-8,461,493","599,767","10,085,750","-4,987","-8,494",363,"9,866"
"5,168","-5,863,074","-7,786,825","-220,343","9,749,812","-5,311","-8,351",351,"9,922"
"5,182","-5,673,961","-8,030,727","-737,510","9,860,545","-5,523","-8,229",106,"9,939"
"5,202","-4,931,873","-8,514,021","-872,342","9,877,900","-5,481","-8,198",-308,"9,894"
"5,222","-4,687,809","-8,628,099","-476,437","9,830,902","-5,289","-8,240",-577,"9,830"
"5,247","-4,783,691","-8,647,052","73,626","9,882,340","-5,019","-8,455",-503,"9,863"
"5,262","-4,943,931","-8,468,186","562,101","9,821,842","-4,837","-8,564",-178,"9,853"
"5,281","-5,058,766","-8,283,689","605,934","9,725,110","-4,869","-8,507",191,"9,815"
"5,302","-5,111,161","-8,048,282","108,438","9,534,703","-4,974","-8,362",338,"9,741"
"5,326","-4,658,963","-8,136,120","-234,268","9,378,554","-4,943","-8,234",261,"9,615"
"5,342","-4,341,655","-8,294,913","-163,218","9,363,877","-4,793","-8,191",79,"9,501"
"5,361","-4,534,091","-7,982,211","56,427","9,180,243","-4,661","-8,115",-58,"9,364"
"5,380","-5,133,705","-7,548,698","408,403","9,138,083","-4,667","-7,990",17,"9,265"
"5,419","-5,732,150","-7,284,148","658,846","9,292,493","-4,935","-7,777",240,"9,244"
